model,parse_success_rate,avg_iou,std_iou,median_iou,min_iou,max_iou,avg_time_per_pred,total_time_min,total_calls,parse_failures,efficiency
ministral-3:3b,86.66666666666667,0.1792502593917659,0.16474090136721153,0.17293696575878775,0.0,0.3832553791370314,2.8119621753692625,1.4059810876846313,30,4,0.06374561541469775
ministral-3:8b,86.66666666666667,0.31451973840380854,0.12585888327950837,0.22934935892476674,0.22555682753250014,0.5337149821245469,6.865720089276632,3.432860044638316,30,4,0.04581016037852282
ministral-3:14b,96.66666666666667,0.42107876302113434,0.024397331241823944,0.4130413959646358,0.38521621182928806,0.46316936937325714,23.02432934443156,11.51216467221578,30,1,0.01828842685152835
qwen3-vl:4b,96.66666666666667,0.6000589639718714,0.2759266325371455,0.7209344617829632,0.2248194802847252,0.877367831025992,16.71674039363861,8.358370196819305,30,1,0.03589569197355113
qwen3-vl:8b,100.0,0.8865675649248503,0.048203420076486724,0.898967235392639,0.7870953161118553,0.9372120454239666,36.175448497136436,18.087724248568218,30,0,0.024507438103912628
