seed,anchor,target,la,lt,a_word,t_word,raw_floor,gap_med,d0_gray,pmi_floor_gray,d0_black,pmi_floor_black,d0_white,pmi_floor_white,d0_noise,pmi_floor_noise,d0,pmi_floor,explained_frac
0,junco,ostrich,0,0,sparrow,ratite,0.5663192272186279,1.577988862991333,0.27629995346069336,0.29001927375793457,0.15978527069091797,0.40653395652770996,0.23693180084228516,0.3293874263763428,0.6567840576171875,0.005166530609130859,0.27629995346069336,0.29001927375793457,0.487887290738281
196,green iguana,boa constrictor,0,0,iguana,constrictor,0.0017108917236328125,0.4982374310493469,-0.06451988220214844,0.0021276473999023438,-0.19502758979797363,0.005812168121337891,0.07089781761169434,0.00038933753967285156,-0.19886088371276855,0.006609678268432617,-0.06451988220214844,0.0021276473999023438,-0.24358974358974358
198,green iguana,boa constrictor,0,1,iguana,snake,2.2525535821914673,6.536549955606461,5.88727080821991,0.0021665096282958984,6.275917291641235,4.410743713378906e-06,6.175708651542664,0.002799391746520996,5.739674806594849,0.00040793418884277344,5.88727080821991,0.0021665096282958984,0.9990381984049462
1,junco,ostrich,0,0,sparrow,ratite,0.0032448768615722656,1.5931288599967957,0.27629995346069336,0.02183389663696289,0.15978527069091797,0.01689910888671875,0.23693180084228516,0.01306772232055664,0.6567840576171875,0.0023686885833740234,0.27629995346069336,0.02183389663696289,-5.728728875826598
202,green iguana,boa constrictor,1,1,lizard,snake,2.91452157497406,6.715113639831543,3.828035831451416,0.0011740922927856445,3.5696253776550293,0.00096893310546875,3.686478614807129,0.01980137825012207,4.058897972106934,0.0030241012573242188,3.828035831451416,0.0011740922927856445,0.9995971577967145
203,green iguana,boa constrictor,1,1,lizard,snake,2.2154354453086853,5.4064860343933105,3.828035831451416,0.00444483757019043,3.5696253776550293,0.003997802734375,3.686478614807129,0.00283050537109375,4.058897972106934,0.0008594989776611328,3.828035831451416,0.00444483757019043,0.9979936957406714
204,green iguana,cello,0,0,iguana,cello,0.8359609842300415,2.642780303955078,2.3097774982452393,7.283687591552734e-05,2.024085521697998,0.001423478126525879,2.3273987770080566,0.001896679401397705,1.7779076099395752,0.002162635326385498,2.3097774982452393,7.283687591552734e-05,0.9999128704840422
205,green iguana,cello,0,0,iguana,cello,1.7919008135795593,3.1973422169685364,2.3097774982452393,0.00020420551300048828,2.024085521697998,0.0038362741470336914,2.3273987770080566,0.0021963119506835938,1.7779076099395752,0.01399320363998413,2.3097774982452393,0.00020420551300048828,0.9998860397230399
212,green iguana,cello,1,1,lizard,string instrument,0.3563251495361328,1.6542564630508423,0.013038158416748047,0.34328699111938477,0.19695401191711426,0.15937113761901855,0.20633649826049805,0.14998865127563477,-0.0312192440032959,0.3875443935394287,0.013038158416748047,0.34328699111938477,0.03659062076791727
240,boa constrictor,junco,0,0,constrictor,sparrow,2.1015042811632156,4.450332790613174,3.7926290035247803,0.0012654177844524384,3.466546893119812,0.0014149099588394165,2.6272774934768677,0.0004620403051376343,2.6801615953445435,0.0021729618310928345,3.7926290035247803,0.0012654177844524384,0.9993978514363283
242,boa constrictor,junco,0,1,constrictor,songbird,1.9518283605575562,3.665954351425171,2.036795735359192,0.00034165382385253906,2.2114431858062744,2.2411346435546875e-05,1.7899595499038696,0.16186881065368652,1.4427790641784668,0.5090492963790894,2.036795735359192,0.00034165382385253906,0.9998249570347697
243,boa constrictor,junco,0,1,constrictor,songbird,1.2721451073884964,2.32663581892848,2.036795735359192,0.0004426240921020508,2.2114431858062744,1.8596649169921875e-05,1.7899595499038696,0.0006736256182193756,1.4427790641784668,0.001382380723953247,2.036795735359192,0.0004426240921020508,0.999652064776627
244,boa constrictor,junco,0,2,constrictor,bird,3.9858941733837128,8.357790172100067,6.742256164550781,0.0009255409240722656,6.46807587146759,0.0003351867198944092,5.898932933807373,0.0076180994510650635,5.652544021606445,0.00041347742080688477,6.742256164550781,0.0009255409240722656,0.9997677959113284
26,junco,boa constrictor,0,0,sparrow,constrictor,0.0005769729614257812,0.5651092529296875,-1.0256848335266113,0.15525007247924805,-1.9686641693115234,1.0982294082641602,-1.299468994140625,0.4290342330932617,-1.0911591053009033,0.22072434425354004,-1.0256848335266113,0.15525007247924805,-268.07685950413224
276,boa constrictor,green iguana,0,0,constrictor,iguana,1.402856469154358,5.912166386842728,2.624382972717285,0.07580995559692383,2.699023962020874,0.001550436019897461,2.5554089546203613,0.0068359375,2.7154858112335205,0.014911413192749023,2.624382972717285,0.07580995559692383,0.9459602908324456
278,boa constrictor,green iguana,0,1,constrictor,lizard,1.3358550071716309,4.139370582997799,2.143124580383301,0.003985762596130371,2.1327359676361084,0.0017979145050048828,1.8772377967834473,0.0021783113479614258,1.4221153259277344,0.005622386932373047,2.143124580383301,0.003985762596130371,0.9970163209519503
