seed_idx,generation,bsf
0,0,1.4494140148162842
0,1,1.2655534744262695
0,2,1.2655534744262695
0,3,1.1760426759719849
0,4,1.1760426759719849
0,5,1.1760426759719849
0,6,1.1228034496307373
0,7,1.1228034496307373
0,8,1.1228034496307373
0,9,0.7369203567504883
0,10,0.7369203567504883
0,11,0.7369203567504883
0,12,0.7369203567504883
0,13,0.7369203567504883
0,14,0.7369203567504883
0,15,0.7369203567504883
0,16,0.7369203567504883
0,17,0.7369203567504883
0,18,0.7369203567504883
0,19,0.7307436466217041
0,20,0.7307436466217041
0,21,0.7307436466217041
0,22,0.7307436466217041
0,23,0.7307436466217041
0,24,0.7307436466217041
0,25,0.7307436466217041
0,26,0.6516175270080566
0,27,0.6516175270080566
0,28,0.6516175270080566
0,29,0.6516175270080566
0,30,0.6516175270080566
0,31,0.6516175270080566
0,32,0.6516175270080566
0,33,0.6516175270080566
0,34,0.6512877941131592
0,35,0.6512877941131592
0,36,0.6512877941131592
0,37,0.6512877941131592
0,38,0.6512877941131592
0,39,0.6512877941131592
0,40,0.6512877941131592
0,41,0.6512877941131592
0,42,0.5663192272186279
0,43,0.5663192272186279
0,44,0.5663192272186279
0,45,0.5663192272186279
0,46,0.5663192272186279
0,47,0.5663192272186279
0,48,0.5663192272186279
0,49,0.5663192272186279
196,0,0.11415266990661621
196,1,0.11415266990661621
196,2,0.11415266990661621
196,3,0.03591811656951904
196,4,0.03591811656951904
196,5,0.03591811656951904
196,6,0.0017108917236328125
196,7,0.0017108917236328125
196,8,0.0017108917236328125
196,9,0.0017108917236328125
196,10,0.0017108917236328125
196,11,0.0017108917236328125
196,12,0.0017108917236328125
196,13,0.0017108917236328125
196,14,0.0017108917236328125
196,15,0.0017108917236328125
196,16,0.0017108917236328125
196,17,0.0017108917236328125
196,18,0.0017108917236328125
196,19,0.0017108917236328125
196,20,0.0017108917236328125
196,21,0.0017108917236328125
196,22,0.0017108917236328125
196,23,0.0017108917236328125
196,24,0.0017108917236328125
196,25,0.0017108917236328125
196,26,0.0017108917236328125
196,27,0.0017108917236328125
196,28,0.0017108917236328125
196,29,0.0017108917236328125
196,30,0.0017108917236328125
196,31,0.0017108917236328125
196,32,0.0017108917236328125
196,33,0.0017108917236328125
196,34,0.0017108917236328125
196,35,0.0017108917236328125
196,36,0.0017108917236328125
196,37,0.0017108917236328125
196,38,0.0017108917236328125
196,39,0.0017108917236328125
196,40,0.0017108917236328125
196,41,0.0017108917236328125
196,42,0.0017108917236328125
196,43,0.0017108917236328125
196,44,0.0017108917236328125
196,45,0.0017108917236328125
196,46,0.0017108917236328125
196,47,0.0017108917236328125
196,48,0.0017108917236328125
196,49,0.0017108917236328125
198,0,4.908804893493652
198,1,4.809858798980713
198,2,4.809858798980713
198,3,4.252532958984375
198,4,3.965538501739502
198,5,3.965538501739502
198,6,3.4625301361083984
198,7,3.4625301361083984
198,8,3.4625301361083984
198,9,3.4625301361083984
198,10,3.1010701656341553
198,11,3.1010701656341553
198,12,3.1010701656341553
198,13,3.1010701656341553
198,14,3.1010701656341553
198,15,3.1010701656341553
198,16,3.1010701656341553
198,17,3.1010701656341553
198,18,3.1010701656341553
198,19,3.1010701656341553
198,20,3.1010701656341553
198,21,3.1010701656341553
198,22,3.1010701656341553
198,23,3.1010701656341553
198,24,3.015596389770508
198,25,3.015596389770508
198,26,3.015596389770508
198,27,3.015596389770508
198,28,3.015596389770508
198,29,3.015596389770508
198,30,2.3962087631225586
198,31,2.2936673164367676
198,32,2.2936673164367676
198,33,2.2936673164367676
198,34,2.2936673164367676
198,35,2.2936673164367676
198,36,2.2936673164367676
198,37,2.2936673164367676
198,38,2.2936673164367676
198,39,2.2936673164367676
198,40,2.2936673164367676
198,41,2.2936673164367676
198,42,2.2936673164367676
198,43,2.2936673164367676
198,44,2.2936673164367676
198,45,2.2525534629821777
198,46,2.2525534629821777
198,47,2.2525534629821777
198,48,2.2525534629821777
198,49,2.2525534629821777
1,0,1.401917815208435
1,1,1.401917815208435
1,2,1.278921365737915
1,3,1.278921365737915
1,4,1.1937305927276611
1,5,1.1937305927276611
1,6,1.087869644165039
1,7,1.087869644165039
1,8,1.087869644165039
1,9,1.087869644165039
1,10,1.087869644165039
1,11,1.087869644165039
1,12,1.087869644165039
1,13,1.087869644165039
1,14,0.8997955322265625
1,15,0.8997955322265625
1,16,0.8746943473815918
1,17,0.8746943473815918
1,18,0.8746943473815918
1,19,0.8746943473815918
1,20,0.8746943473815918
1,21,0.13379144668579102
1,22,0.13379144668579102
1,23,0.13379144668579102
1,24,0.0443882942199707
1,25,0.0443882942199707
1,26,0.0443882942199707
1,27,0.0443882942199707
1,28,0.0443882942199707
1,29,0.0443882942199707
1,30,0.0443882942199707
1,31,0.0443882942199707
1,32,0.0443882942199707
1,33,0.015521526336669922
1,34,0.015521526336669922
1,35,0.015521526336669922
1,36,0.013613224029541016
1,37,0.013613224029541016
1,38,0.005059719085693359
1,39,0.005059719085693359
1,40,0.005059719085693359
1,41,0.005059719085693359
1,42,0.005059719085693359
1,43,0.0032448768615722656
1,44,0.0032448768615722656
1,45,0.0032448768615722656
1,46,0.0032448768615722656
1,47,0.0032448768615722656
1,48,0.0032448768615722656
1,49,0.0032448768615722656
202,0,5.142113208770752
202,1,5.142113208770752
202,2,5.142113208770752
202,3,5.088057518005371
202,4,4.598877906799316
202,5,4.291437149047852
202,6,3.8538808822631836
202,7,3.5336992740631104
202,8,3.5336992740631104
202,9,3.5336992740631104
202,10,3.5021567344665527
202,11,3.5021567344665527
202,12,3.5021567344665527
202,13,3.5021567344665527
202,14,2.9145216941833496
202,15,2.9145216941833496
202,16,2.9145216941833496
202,17,2.9145216941833496
202,18,2.9145216941833496
202,19,2.9145216941833496
202,20,2.9145216941833496
202,21,2.9145216941833496
