cell_id,anchor,target,la,lt,anchor_word,target_word,common_ancestor_level,stratum,n,probe,min_gen0,min_tgtbal_10,min_tgtbal_20,min_tgtbal_50,dex_eroded_10,dex_eroded_20,dex_eroded_50,dex_eroded_min_50,crossed_50_frac,crossed_50_any,gen_first_cross_mean,n_cross_rows,stuck_frac,stuck_any,pop0_p_class_a_median,runtime_seconds
"boa constrictor->green iguana(0,0)",boa constrictor,green iguana,0,0,constrictor,iguana,2.0,within_bucket,1,6.0165855884552,4.450081825256348,3.370677947998047,3.370677947998047,1.402856469154358,0.25163283934006575,0.25163283934006575,0.6323368598938419,0.5013547573746032,0.0,False,,0.0,1.0,True,0.9975670874118805,3210.9665865898132
"boa constrictor->green iguana(0,1)",boa constrictor,green iguana,0,1,constrictor,lizard,2.0,within_bucket,1,4.243100881576538,3.0974857807159424,1.6181917190551758,1.3706951141357422,1.3358550071716309,0.4186533830495245,0.49074249270171433,0.5019240347717204,0.36524999872659897,0.0,False,,0.0,1.0,True,0.985835611820221,3125.5121552944183
"boa constrictor->green iguana(1,1)",boa constrictor,green iguana,1,1,snake,lizard,2.0,within_bucket,1,1.498214840888977,0.10103368759155273,0.0033655166625976562,0.0009484291076660156,0.0009484291076660156,2.648522349673246,3.198569220572761,3.198569220572761,2.0274613302528777,1.0,True,0.0,369.0,0.0,False,0.8168774545192719,3140.676898241043
"boa constrictor->junco(0,0)",boa constrictor,junco,0,0,constrictor,sparrow,,wall_repl,1,5.46095609664917,3.114429235458374,2.508661985397339,2.213167905807495,2.101504325866699,0.3378265361864705,0.3922543213610524,0.41473839671850166,0.17084817917388564,0.0,False,,0.0,1.0,True,0.9957685470581055,3112.22794175148
"boa constrictor->junco(0,1)",boa constrictor,junco,0,1,constrictor,songbird,,wall_repl,2,3.5278425812721252,2.316190242767334,1.824715793132782,1.7906031012535095,1.611986756324768,0.2743920942206873,0.28242111696508004,0.33616368634196103,0.16191671252206594,0.0,False,,0.0,1.0,True,0.9609901160001755,3177.7255096435547
"boa constrictor->junco(0,2)",boa constrictor,junco,0,2,constrictor,bird,,wall_repl,1,9.406179904937744,7.2713141441345215,5.488755702972412,5.150406360626221,3.985894203186035,0.2339393795569109,0.2615717852288785,0.37288751379028445,0.26108714084268325,0.0,False,,0.0,1.0,True,0.9999143481254578,3148.22301197052
"boa constrictor->marimba(0,0)",boa constrictor,marimba,0,0,constrictor,marimba,,cross_breadth,1,2.4594762325286865,1.5859267711639404,0.8615586757659912,0.678661584854126,0.5585293769836426,0.4555577699835779,0.5591893630902995,0.6437966094037861,0.4532371096116339,0.0,False,,0.0,1.0,True,0.9211105704307556,3120.0819973945618
"boa constrictor->marimba(1,1)",boa constrictor,marimba,1,1,snake,percussion instrument,,cross_breadth,1,1.2975102663040161,0.10573172569274902,0.009675979614257812,0.004661083221435547,2.47955322265625e-05,2.1274158581050884,2.4446239456825505,4.718737368115656,3.629831885879641,1.0,True,0.0,779.0,0.0,False,0.25343234091997147,3143.901967525482
"cello->junco(0,0)",cello,junco,0,0,cello,sparrow,,wall_repl,1,1.5225039720535278,0.45412564277648926,0.13927853107452393,0.13927853107452393,0.13927853107452393,1.0386742565648022,1.0386742565648022,1.0386742565648022,0.5132918478079206,0.0,False,,0.0,1.0,True,0.8208769261837006,3123.4701659679413
"cello->junco(0,1)",cello,junco,0,1,cello,songbird,,wall_repl,1,0.3112848997116089,0.011018991470336914,0.0010912418365478516,0.0010912418365478516,0.0010175704956054688,2.455237045946699,2.455237045946699,2.485593547621566,1.0345773407383292,1.0,True,0.0,205.0,0.0,False,0.5771921277046204,3139.0736713409424
