cell,probe_0,probe_1,dex50_0,dex50_1,log10min50_0,log10min50_1,d_probe,d_dex_eroded_50,d_log10_min50,hi_probe_erodes_less,hi_probe_higher_floor,crossed_0,crossed_1,stuck_0,stuck_1,abs_d_log10_min50
"boa constrictor->junco(0,1)",4.404975414276123,2.650709748268127,0.3535018646843874,0.3188255079995346,0.29044162411952246,0.10453666725270781,-1.754265666007996,-0.034676356684852805,-0.18590495686681463,False,True,False,False,True,True,0.18590495686681463
"cello->marimba(0,0)",0.3366163969039917,0.2339086532592773,3.334881990383737,2.851827106681773,-3.807746723332569,-3.482780818206424,-0.10270774364471441,-0.48305488370196414,0.32496590512614487,False,False,True,True,False,False,0.32496590512614487
"green iguana->boa constrictor(1,1)",7.095954895019531,6.237597465515137,0.3864435539378312,0.4495582332460473,0.4645672923296971,0.3454591115023841,-0.8583574295043945,0.06311467930821613,-0.119108180827313,True,True,False,False,True,True,0.119108180827313
"green iguana->cello(0,0)",3.533539056777954,3.3284305334091187,0.6260238873799122,0.2689255162671405,-0.07781399137558284,0.25331398109628356,-0.20510852336883545,-0.3570983711127717,0.3311279724718664,False,False,False,False,True,True,0.3311279724718664
"junco->boa constrictor(0,1)",8.279857635498047,10.401365756988524,1.1234384184630193,1.0851064117102112,-0.2054155489062977,-0.06801604339405572,2.1215081214904767,-0.03833200675280812,0.137399505512242,True,True,False,False,True,True,0.137399505512242
"junco->ostrich(0,0)",2.0720633268356323,1.917767882347107,0.5633417175787817,2.7715978204473495,-0.24693869330336682,-2.4888017794042603,-0.1542954444885254,2.208256102868568,-2.2418630861008935,True,True,False,True,True,False,2.2418630861008935
