seed,a_word,t_word,d0_gray,d0_black,d0_white,d0_noise,d0_null_std,d0_null_range,raw_floor,pmi_floor
0,sparrow,ratite,3.508028149604798,3.051242470741272,2.376053214073181,3.965176463127136,0.677954863731423,1.5891232490539546,0.4454169273376465,0.0003251135349273
1,sparrow,ratite,3.508028149604798,3.051242470741272,2.376053214073181,3.965176463127136,0.677954863731423,1.5891232490539546,2.729616403579712,0.0003751516342163
320,cello,sparrow,-0.3563307523727417,-0.0335375666618347,-0.5567094087600708,-1.5254317671060562,0.6421983285669638,1.4918942004442215,0.0002001821994781,0.0043859779834747
338,cello,ratite,-0.1272212862968444,0.2627221345901489,-0.1214076876640319,-1.1050679683685305,0.5841137758029336,1.3677901029586794,0.3193519115447998,0.4465731978416443
394,cello,percussion instrument,4.630634605884552,4.830125868320465,4.767646908760071,3.751576781272888,0.502566915235279,1.078549087047577,5.219325706362724,0.5886911004781723
282,snake,lizard,-0.592982679605484,-0.0815008282661438,-0.373648464679718,-1.2401638180017471,0.49221130546835856,1.1586629897356033,0.0020277798175811,0.0753446221351623
472,marimba,cello,1.1180991232395172,1.4514466226100922,1.71249857544899,0.6003568172454834,0.4797438230239928,1.1121417582035067,0.433512270450592,0.0003148913383483
44,sparrow,cello,-0.3490551710128784,-0.5225365161895752,-0.4938476681709289,0.4747695326805115,0.4711165349174822,0.9973060488700867,0.0022644698619842,0.0169564485549926
310,snake,percussion instrument,4.036033630371094,4.272901356220245,4.103391408920288,3.2238943576812744,0.4675180884629559,1.049006998538971,4.151951789855957,0.1159181594848632
80,ratite,sparrow,0.1183943152427673,0.1812238693237304,-0.1364550590515136,-0.7882872521877289,0.44316326425664315,0.9695111215114594,0.0027762055397033,0.0043357014656066
276,constrictor,iguana,1.391401290893555,1.4153623580932615,1.103285789489746,0.4795689582824707,0.4356170561224537,0.9357933998107908,0.9245672225952148,0.0014057159423828
398,string instrument,percussion instrument,5.1956926882267,5.437871754169464,5.423043340444565,4.520431309938431,0.43040119619484196,0.9174404442310333,4.9203126430511475,0.0001208037137985
324,cello,bird,-1.2303959131240845,-1.0679689645767212,-1.449208714067936,-2.0479077007621527,0.42882117760359406,0.9799387361854315,4.303455352783203e-05,0.3237433135509491
322,cello,songbird,-0.6485679745674133,-0.5253787338733673,-0.8596848249435425,-1.414303593337536,0.3932394200678574,0.8889248594641688,0.0006570219993591,0.2085945308208465
393,cello,marimba,-0.9003267288208008,-0.6783927977085114,-0.7805443108081818,-1.5342608243227005,0.3847627546334252,0.8558680266141891,0.2570990920066833,1.157425820827484
