sut,cell,arm,rep,d0,hv_raw,hv_pmi,hv_own,hv_cross,final_own_hv,gen0_own_hv,gen_to_90,frac_final_at_gen0,n_pareto_final,n_active_min,n_active_max,n_active_span,pareto_min_matdist,pareto_min_textdist,image_dim
qwen,2,raw,1,1.9718880653381348,0.6431956794168855,0.9718436903065747,0.6431956794168855,0.9718436903065747,0.6431956794168855,0.4059140469666358,11,0.6310895112582741,67,0,121,121,1.3950421816844027e-05,0.0656554102897644,222
qwen,26,raw,1,3.4538527727127075,0.5176681223305853,0.9971900721480539,0.5176681223305853,0.9971900721480539,0.5176681223305853,0.21969133212759684,38,0.42438644114018076,94,0,121,121,1.3950421816844027e-05,0.05229389667510986,222
qwen,28,raw,1,-1.8430805206298828,0.999984343667646,0.8854024316276515,0.999984343667646,0.8854024316276515,0.999984343667646,0.9977335285496067,0,0.9977491496418994,45,0,121,121,1.3950421816844027e-05,0.04232525825500488,222
qwen,96,raw,1,-4.1983330845832825,0.9991407999093982,0.8195990401372921,0.9991407999093982,0.8195990401372921,0.9991407999093982,0.9137189785639445,0,0.914504721103172,183,0,135,135,2.490969745849725e-05,0.05293518304824829,253
qwen,196,raw,1,2.775361180305481,0.37816202691993916,0.8407222236375194,0.37816202691993916,0.8407222236375194,0.37816202691993916,0.14329306781291962,32,0.3789197688091942,65,0,121,121,4.031010394101031e-05,0.03386867046356201,222
qwen,278,raw,1,-0.0527796745300293,0.9819556223079454,0.9731590098862738,0.9819556223079454,0.9731590098862738,0.9819556223079454,0.864412502430412,3,0.880296912398887,164,0,119,119,2.416285133222118e-05,0.05204463005065918,229
qwen,454,raw,1,4.453447341918945,0.622063061211839,0.9999015309060664,0.622063061211839,0.9999015309060664,0.622063061211839,0.23759525517622626,24,0.3819472172376989,71,0,167,167,1.3950421816844027e-05,0.057455599308013916,293
qwen,474,raw,1,0.057259589433670044,0.9999510662818796,0.999882868295101,0.9999510662818796,0.999882868295101,0.9999510662818796,0.980036954085032,0,0.9800849132839127,48,0,167,167,1.3950421816844027e-05,0.0735553503036499,293
qwen,2,raw,2,1.9718880653381348,0.8608545158897434,0.9816070797744099,0.8608545158897434,0.9816070797744099,0.8608545158897434,0.4463238939419165,26,0.5184661121056149,88,0,121,121,1.3950421816844027e-05,0.05257284641265869,222
qwen,26,raw,2,3.4538527727127075,0.483545801079309,0.9911717347823106,0.483545801079309,0.9911717347823106,0.483545801079309,0.27475100554324483,28,0.5682005818889976,96,0,121,121,1.3950421816844027e-05,0.09302836656570435,222
qwen,28,raw,2,-1.8430805206298828,0.999904818184025,0.9000611566119008,0.999904818184025,0.9000611566119008,0.999904818184025,0.9980329716796273,0,0.9981279753128931,65,0,121,121,1.3950421816844027e-05,0.08748608827590942,222
qwen,96,raw,2,-4.1983330845832825,0.9995683960920895,0.7955202523506049,0.9995683960920895,0.7955202523506049,0.9995683960920895,0.893295734767386,2,0.8936814511741399,44,0,143,143,2.490969745849725e-05,0.0,253
qwen,196,raw,2,2.775361180305481,0.2707738704621434,0.7333340671797235,0.2707738704621434,0.7333340671797235,0.2707738704621434,0.09660935884078697,33,0.3567898138616511,64,0,121,121,4.031010394101031e-05,0.026067137718200684,222
qwen,278,raw,2,-0.0527796745300293,0.9939945604776885,0.985197948056017,0.9939945604776885,0.985197948056017,0.9939945604776885,0.8706190586090088,2,0.8758790975582517,110,0,118,118,2.416285133222118e-05,0.009710311889648438,229
