sut,cell,a_word,t_word,d0,floor_raw_mean,floor_pmi_mean,floor_pmi_min,floor_pmi_max,n_reps_pmi_gt03,crossed_raw_all,crossed_pmi_any,evidence_wall,prior_hidden_wall
qwen,2,sparrow,flightless bird,1.9891505241394043,1.514542857805888,0.019152998924255333,0.0028238296508789,0.0396070480346679,0,False,True,False,False
qwen,26,sparrow,constrictor,3.537253975868225,2.5772793690363565,0.005806684494018499,0.0033904314041137,0.0102051496505737,0,False,True,False,False
qwen,28,sparrow,snake,-1.8511478900909424,0.0002994537353515141,0.6263166964054108,0.5829936861991882,0.6933194696903229,3,True,False,True,True
qwen,96,flightless bird,lizard,-4.25820928812027,0.00020241737365719425,1.2252402504285176,1.1403153538703918,1.2781370282173157,3,True,False,True,True
qwen,196,iguana,constrictor,2.7845526933670044,3.9406705796718597,1.1561178863048553,0.86126708984375,1.571506828069687,3,False,False,True,False
qwen,278,constrictor,lizard,-0.0797491073608398,0.1318732897440592,0.21162239710489902,0.1067337989807128,0.3413467407226562,1,False,False,False,False
qwen,454,marimba,constrictor,4.411278992891312,2.8973172108332315,0.0008821288744608,0.0006537437438964,0.0010512471199035,0,False,True,False,False
qwen,474,marimba,string instrument,-0.0058236718177795,0.0004099706808725334,0.0002101361751556393,1.7493963241617914e-05,0.000347375869751,0,True,True,False,False
llava,2,sparrow,flightless bird,-1.1898174285888672,0.0006897449493407666,0.07668725649515787,0.0064277648925781,0.1443183422088623,0,True,True,False,False
llava,26,sparrow,constrictor,-1.025684833526611,0.0028516451517740667,0.4038151105244952,0.3242454528808591,0.4871234893798826,3,True,False,True,True
llava,28,sparrow,snake,4.609247207641602,1.0783406347036362,0.0033656557401020998,0.000739574432373,0.0052797794342041,0,False,True,False,False
llava,96,flightless bird,lizard,1.716181755065918,0.8125466605027517,0.00049662590026852,9.310245513916016e-05,0.0008937120437622,0,False,True,False,False
llava,196,iguana,constrictor,-0.0645198822021484,0.0013993183771768669,0.0006409088770548667,0.000352144241333,0.0009039640426636,0,True,True,False,False
llava,278,constrictor,lizard,2.143124580383301,1.4341735740502675,0.003918722271919199,0.0008846521377563,0.0063167810440063,0,False,True,False,False
llava,454,marimba,constrictor,0.1195020675659179,0.004271785418192466,0.0001910924911498898,3.051757812506939e-05,0.0004305839538573,0,True,True,False,False
llava,474,marimba,string instrument,1.024472713470459,0.5479147434234619,0.0015043417612711,0.0005120038986206,0.0022861957550048,0,False,True,False,False
