seed,anchor,target,a_word,t_word,d0_gray,d0_black,d0_white,d0_noise,d0_null_mean,d0_null_std,d0_null_range,d0_null_cv,raw_floor,pmi_floor,gap_med,explained_frac
0,junco,ostrich,sparrow,ratite,3.508028149604798,3.051242470741272,2.376053214073181,3.965176463127136,3.2251250743865967,0.677954863731423,1.5891232490539546,0.21021040985840425,0.4454169273376465,0.0003251135349273,3.8246290795505047,0.9992700916490296
1,junco,ostrich,sparrow,ratite,3.508028149604798,3.051242470741272,2.376053214073181,3.965176463127136,3.2251250743865967,0.677954863731423,1.5891232490539546,0.21021040985840425,2.729616403579712,0.0003751516342163,4.864185728132725,0.9998625625074188
320,cello,junco,cello,sparrow,-0.3563307523727417,-0.0335375666618347,-0.5567094087600708,-1.5254317671060562,-0.6180023737251759,0.6421983285669638,1.4918942004442215,1.039151880106771,0.0002001821994781,0.0043859779834747,1.360988162457943,-20.90993002828644
338,cello,ostrich,cello,ratite,-0.1272212862968444,0.2627221345901489,-0.1214076876640319,-1.1050679683685305,-0.27274370193481445,0.5841137758029336,1.3677901029586794,2.1416214990824476,0.3193519115447998,0.4465731978416443,2.2479950077831745,-0.3983733358019917
394,cello,marimba,cello,percussion instrument,4.630634605884552,4.830125868320465,4.767646908760071,3.751576781272888,4.494996041059494,0.502566915235279,1.078549087047577,0.11180586381936419,5.219325706362724,0.5886911004781723,5.793361146003008,0.8872093573772343
282,boa constrictor,green iguana,snake,lizard,-0.592982679605484,-0.0815008282661438,-0.373648464679718,-1.2401638180017471,-0.5720739476382732,0.49221130546835856,1.1586629897356033,0.8603980438200055,0.0020277798175811,0.0753446221351623,0.8238590583205223,-36.15621463529342
472,marimba,cello,marimba,cello,1.1180991232395172,1.4514466226100922,1.71249857544899,0.6003568172454834,1.2206002846360207,0.4797438230239928,1.1121417582035067,0.3930392521308079,0.433512270450592,0.0003148913383483,1.803957600146532,0.9992736276229942
44,junco,cello,sparrow,cello,-0.3490551710128784,-0.5225365161895752,-0.4938476681709289,0.4747695326805115,-0.22266745567321777,0.4711165349174822,0.9973060488700867,2.115785324321859,0.0022644698619842,0.0169564485549926,2.686023468151689,-6.488043378124054
310,boa constrictor,marimba,snake,percussion instrument,4.036033630371094,4.272901356220245,4.103391408920288,3.2238943576812744,3.9090551882982254,0.4675180884629559,1.049006998538971,0.11959874341566562,4.151951789855957,0.1159181594848632,5.177317328751087,0.9720810439639318
80,ostrich,junco,ratite,sparrow,0.1183943152427673,0.1812238693237304,-0.1364550590515136,-0.7882872521877289,-0.1562810316681862,0.44316326425664315,0.9695111215114594,2.8356817172640727,0.0027762055397033,0.0043357014656066,1.9655279479920864,-0.5617364793782339
