sut,cell,arm,d0,hv_own,gen0_frac,gen_to_90,n_pareto,span,trivialized,degenerate,low_hv
qwen,2,raw,1.9718880653381348,0.7154210381567836,0.6272811214251232,18.333333333333332,65.33333333333333,120.0,False,False,False
qwen,2,pmi,1.9718880653381348,0.9780796870097026,0.7769002953804801,9.666666666666666,73.0,120.33333333333333,False,False,False
qwen,26,raw,3.4538527727127075,0.5516450297575931,0.4409646057609194,31.333333333333332,111.33333333333333,123.0,False,False,False
qwen,26,pmi,3.4538527727127075,0.9775937015677357,0.7974846258143083,4.666666666666667,124.66666666666667,120.0,False,False,False
qwen,28,raw,-1.8430805206298828,0.9999396007757883,0.9977635877409026,0.0,54.333333333333336,120.0,True,False,False
qwen,28,pmi,-1.8430805206298828,0.9975565956929723,0.8669785911796682,1.6666666666666667,98.66666666666667,120.0,False,False,False
qwen,96,raw,-4.1983330845832825,0.9994828459145367,0.9002898248245627,1.3333333333333333,148.66666666666666,141.33333333333334,False,False,False
qwen,96,pmi,-4.1983330845832825,0.9323919117516155,0.7699750518158891,5.0,149.0,141.33333333333334,False,False,False
qwen,196,raw,2.775361180305481,0.3372309108388734,0.35505724860297283,26.666666666666668,133.66666666666666,120.0,False,False,False
qwen,196,pmi,2.775361180305481,0.8366502549972857,0.7030126711650949,30.666666666666668,82.33333333333333,120.0,False,False,False
qwen,278,raw,-0.0527796745300293,0.9773691403871597,0.8988437681737954,1.6666666666666667,125.66666666666667,119.66666666666667,False,False,False
qwen,278,pmi,-0.0527796745300293,0.9797820752248899,0.8543777980165471,2.3333333333333335,70.0,119.66666666666667,False,False,False
qwen,454,raw,4.453447341918945,0.510879045542348,0.4545447736748988,23.333333333333332,78.0,163.66666666666666,False,False,False
qwen,454,pmi,4.453447341918945,0.9993369493168731,0.9526175858422613,0.0,58.666666666666664,163.66666666666666,True,False,False
qwen,474,raw,0.057259589433670044,0.9992347056859137,0.9826077629118859,0.0,58.333333333333336,163.66666666666666,True,False,False
qwen,474,pmi,0.057259589433670044,0.9996598631335698,0.9767255571687676,0.0,77.0,163.66666666666666,True,False,False
llava,2,raw,-1.1898174285888672,0.9998641945757307,0.9974009499161175,0.0,52.0,120.0,True,False,False
llava,2,pmi,-1.1898174285888672,0.9987632529036299,0.9337716090096103,0.0,81.66666666666667,124.0,False,False,False
llava,26,raw,-1.0256848335266113,0.9978524320446573,0.8922125095582095,0.3333333333333333,74.0,119.33333333333333,False,False,False
llava,26,pmi,-1.0256848335266113,0.9588956799772052,0.7419554413176784,10.333333333333334,67.0,119.33333333333333,False,False,False
llava,28,raw,4.609247207641602,0.801536507404841,0.29749957404120264,18.666666666666668,105.33333333333333,119.33333333333333,False,False,False
llava,28,pmi,4.609247207641602,0.9996777450119531,0.9671201094439379,0.0,58.666666666666664,119.33333333333333,True,False,False
llava,96,raw,1.716181755065918,0.8633388257178499,0.8268382002413387,4.0,80.0,142.33333333333334,False,False,False
llava,96,pmi,1.716181755065918,0.9995486629234368,0.9748854333479461,0.0,99.0,143.0,True,False,False
llava,196,raw,-0.06451988220214844,0.9990362898484841,0.9770105449865043,0.0,57.333333333333336,120.0,True,False,False
llava,196,pmi,-0.06451988220214844,0.9993888322297518,0.9558614532806854,0.0,79.66666666666667,120.33333333333333,True,False,False
llava,278,raw,2.143124580383301,0.7593205646150382,0.5861151951851075,18.333333333333332,72.33333333333333,119.66666666666667,False,False,False
llava,278,pmi,2.143124580383301,0.9981815129851093,0.8985104683709433,0.6666666666666666,82.0,122.33333333333333,False,False,False
llava,454,raw,0.11950206756591797,0.997665002122719,0.9317128237786632,0.3333333333333333,106.33333333333333,169.0,False,False,False
llava,454,pmi,0.11950206756591797,0.9976454785614245,0.9246323811330425,0.3333333333333333,101.0,163.66666666666666,False,False,False
llava,474,raw,1.024472713470459,0.9051425336751696,0.9081151871086962,2.6666666666666665,88.33333333333333,167.66666666666666,False,False,False
llava,474,pmi,1.024472713470459,0.9995665761571876,0.9733837446723973,0.0,71.66666666666667,163.66666666666666,True,False,False
