sut,cell,d0,raw_pmin_mat,pmi_pmin_mat,absdiff_mat,raw_pmin_txt,pmi_pmin_txt,absdiff_txt
qwen,2,1.9718880653381348,1.3950421816844027e-05,1.3950421816844027e-05,0.0,0.059367080529530845,0.05203088124593099,0.0073361992835998535
qwen,26,3.4538527727127075,1.3950421816844027e-05,1.3950421816844027e-05,0.0,0.07158180077870686,0.06410839160283406,0.007473409175872803
qwen,28,-1.8430805206298828,1.3950421816844027e-05,1.3950421816844027e-05,0.0,0.05971099932988485,0.06184401114781698,0.002133011817932129
qwen,96,-4.1983330845832825,2.490969745849725e-05,2.490969745849725e-05,0.0,0.02861994504928589,0.0400509238243103,0.011430978775024414
qwen,196,2.775361180305481,4.031010394101031e-05,4.031010394101031e-05,0.0,0.04211270809173584,0.030341843763987224,0.011770864327748615
qwen,278,-0.0527796745300293,2.416285133222118e-05,2.416285133222118e-05,0.0,0.04417896270751953,0.053270975748697914,0.009092013041178383
qwen,454,4.453447341918945,1.3950421816844027e-05,1.3950421816844027e-05,0.0,0.05158813794453939,0.03378951549530029,0.017798622449239097
qwen,474,0.057259589433670044,1.3950421816844027e-05,1.3950421816844027e-05,0.0,0.06693720817565918,0.04731468359629313,0.01962252457936605
llava,2,-1.1898174285888672,2.782623232633341e-05,2.782623232633341e-05,0.0,0.3781449596087138,0.3035010099411011,0.07464394966761273
llava,26,-1.0256848335266113,2.782623232633341e-05,2.782623232633341e-05,0.0,0.27971116701761883,0.2911880413691203,0.011476874351501465
llava,28,4.609247207641602,2.782623232633341e-05,2.782623232633341e-05,0.0,0.2731841802597046,0.3537715474764506,0.08058736721674603
llava,96,1.716181755065918,3.48673747794237e-05,3.48673747794237e-05,0.0,0.31801138321558636,0.34862689177195233,0.030615508556365967
llava,196,-0.06451988220214844,4.5514661906054243e-05,4.5514661906054243e-05,0.0,0.3431590994199117,0.30810709794362384,0.03505200147628784
llava,278,2.143124580383301,2.994129499711562e-05,2.994129499711562e-05,0.0,0.2602602044741313,0.3453436692555745,0.08508346478144324
llava,454,0.11950206756591797,2.2720023480360396e-05,2.2720023480360396e-05,0.0,0.30474042892456055,0.41344521443049115,0.1087047855059306
llava,474,1.024472713470459,2.2720023480360396e-05,2.2720023480360396e-05,0.0,0.2569529414176941,0.3540483315785726,0.09709539016087848
