sut,cell,rep,d0,geno_identical,max_dev_matdist,max_dev_textdist,mean_signed_textdist,frac_text_identical
qwen,2,1,1.9718880653381348,True,0.0,0.264784038066864,0.05184666514396667,0.0
qwen,2,2,1.9718880653381348,True,0.0,0.16781765222549438,0.02657754421234131,0.0
qwen,2,3,1.9718880653381348,True,0.0,0.1239091157913208,0.012037068605422974,0.0
qwen,26,1,3.4538527727127075,True,0.0,0.264784038066864,0.05184666514396667,0.0
qwen,26,2,3.4538527727127075,True,0.0,0.16781765222549438,0.02657754421234131,0.0
qwen,26,3,3.4538527727127075,True,0.0,0.1239091157913208,0.012037068605422974,0.0
qwen,28,1,-1.8430805206298828,True,0.0,0.264784038066864,0.05184666514396667,0.0
qwen,28,2,-1.8430805206298828,True,0.0,0.16781765222549438,0.02657754421234131,0.0
qwen,28,3,-1.8430805206298828,True,0.0,0.1239091157913208,0.012037068605422974,0.0
qwen,96,1,-4.1983330845832825,True,0.0,0.26016515493392944,0.0648519217967987,0.0
qwen,96,2,-4.1983330845832825,True,0.0,0.10170865058898926,0.006742030382156372,0.03333333333333333
qwen,96,3,-4.1983330845832825,True,0.0,0.339070200920105,0.0490118940671285,0.0
qwen,196,1,2.775361180305481,True,0.0,0.264784038066864,0.05184666514396667,0.0
qwen,196,2,2.775361180305481,True,0.0,0.07478106021881104,0.006967957814534505,0.0
qwen,196,3,2.775361180305481,True,0.0,0.27349960803985596,0.037152830759684244,0.0
qwen,278,1,-0.0527796745300293,True,0.0,0.3062007427215576,0.0739445944627126,0.0
qwen,278,2,-0.0527796745300293,True,0.0,0.13440853357315063,0.00844568411509196,0.0
qwen,278,3,-0.0527796745300293,True,0.0,0.2279307246208191,0.023792004585266112,0.0
qwen,454,1,4.453447341918945,True,0.0,0.2494770884513855,0.06196731130282084,0.0
qwen,454,2,4.453447341918945,True,0.0,0.22247105836868286,0.010236424207687379,0.0
qwen,454,3,4.453447341918945,True,0.0,0.2961699962615967,0.02026976744333903,0.0
qwen,474,1,0.057259589433670044,True,0.0,0.2494770884513855,0.06196731130282084,0.0
qwen,474,2,0.057259589433670044,True,0.0,0.22247105836868286,0.010236424207687379,0.0
qwen,474,3,0.057259589433670044,True,0.0,0.2961699962615967,0.02026976744333903,0.0
llava,2,1,-1.1898174285888672,True,0.0,0.18627893924713135,-0.003303865591684977,0.0
llava,2,2,-1.1898174285888672,True,0.0,0.14408940076828003,0.006321567296981812,0.0
llava,2,3,-1.1898174285888672,True,0.0,0.16523176431655884,-0.035025608539581296,0.0
llava,26,1,-1.0256848335266113,True,0.0,0.18627893924713135,-0.003303865591684977,0.0
llava,26,2,-1.0256848335266113,True,0.0,0.14408940076828003,0.006321567296981812,0.0
llava,26,3,-1.0256848335266113,True,0.0,0.16523176431655884,-0.035025608539581296,0.0
llava,28,1,4.609247207641602,True,0.0,0.18627893924713135,-0.003303865591684977,0.0
llava,28,2,4.609247207641602,True,0.0,0.14408940076828003,0.006321567296981812,0.0
llava,28,3,4.609247207641602,True,0.0,0.16523176431655884,-0.035025608539581296,0.0
llava,96,1,1.716181755065918,True,0.0,0.14910823106765747,0.010542456309000652,0.0
llava,96,2,1.716181755065918,True,0.0,0.16282039880752563,0.004109017054239909,0.0
llava,96,3,1.716181755065918,True,0.0,0.20022308826446533,-0.049222071965535484,0.0
llava,196,1,-0.06451988220214844,True,0.0,0.18627893924713135,-0.003303865591684977,0.0
llava,196,2,-0.06451988220214844,True,0.0,0.14408940076828003,0.006321567296981812,0.0
llava,196,3,-0.06451988220214844,True,0.0,0.16523176431655884,-0.035025608539581296,0.0
llava,278,1,2.143124580383301,True,0.0,0.13219112157821655,0.017746704816818237,0.0
llava,278,2,2.143124580383301,True,0.0,0.1584867238998413,0.014565050601959229,0.0
llava,278,3,2.143124580383301,True,0.0,0.20003455877304077,-0.04420630733172099,0.0
llava,454,1,0.11950206756591797,True,0.0,0.14163386821746826,0.0003873646259307861,0.0
llava,454,2,0.11950206756591797,True,0.0,0.16349971294403076,0.0007844964663187662,0.0
llava,454,3,0.11950206756591797,True,0.0,0.14672625064849854,-0.029631048440933228,0.0
llava,474,1,1.024472713470459,True,0.0,0.14163386821746826,0.0003873646259307861,0.0
llava,474,2,1.024472713470459,True,0.0,0.16349971294403076,0.0007844964663187662,0.0
llava,474,3,1.024472713470459,True,0.0,0.14672625064849854,-0.029631048440933228,0.0
