sut,cell,pair,d0,absd0,neg,floor_pmi_raw,floor_pmi_raw_sd,floor_pmi_pmi,floor_pmi_pmi_sd,dfloor,hv_evid_raw,hv_evid_raw_sd,hv_evid_pmi,hv_evid_pmi_sd,dHV,reached_evid_raw,reached_evid_pmi,crossed_behav_raw,crossed_behav_pmi,mask_sig,regime,d0sign
llava,2,sparrow->flightless bird,-1.1898174285888672,1.1898174285888672,1.1898174285888672,0.07668725649515787,0.06898285450959568,0.0012935797373453,0.0009395973760289492,0.07539367675781257,0.9860211316649025,0.011426782300494086,0.9987632529036299,0.0010157636426993033,0.012742121238727422,3,3,3,3,False,EASY,neg
llava,26,sparrow->constrictor,-1.025684833526611,1.025684833526611,1.025684833526611,0.4038151105244952,0.08150335711287424,0.20352963606516516,0.29230937390482636,0.20028547445933004,0.9238170712171971,0.009153934702710706,0.9588956799772052,0.048794433437201516,0.03507860876000801,0,2,3,1,True,PRIOR-ASSISTED,neg
llava,28,sparrow->snake,4.609247207641602,4.609247207641602,0.0,0.0033656557401020998,0.0023523452334562266,0.0018539428710937,0.0011318602326424309,0.0015117128690083999,0.9989315398910023,0.0006409249042221158,0.9996777450119531,0.0001828752495545034,0.0007462051209508047,3,3,0,3,False,EASY,pos
llava,96,flightless bird->lizard,1.716181755065918,1.716181755065918,0.0,0.00049662590026852,0.0004003436117737484,0.00033322970072426533,0.0003742724124104205,0.00016339619954425466,0.9998686313498267,4.4983557276904926e-05,0.9995486629234368,0.0004546488769473567,-0.0003199684263899272,3,3,0,3,False,EASY,pos
llava,196,iguana->constrictor,-0.0645198822021484,0.0645198822021484,0.0645198822021484,0.0006409088770548667,0.0002768068025270681,0.002039353052775,0.0010310958923006566,-0.0013984441757201333,0.9991352070081939,0.0006393477044431678,0.9993888322297518,0.0006027468263693084,0.0002536252215579182,3,3,3,3,False,CONTROL,~0
llava,278,constrictor->lizard,2.143124580383301,2.143124580383301,0.0,0.003918722271919199,0.002771351466892343,0.00269003709157305,0.003961402448494056,0.0012286851803461492,0.9990165072960048,0.0007418428550503616,0.9981815129851092,0.0006398159727981706,-0.0008349943108956204,3,3,0,3,False,EASY,pos
llava,454,marimba->constrictor,0.1195020675659179,0.1195020675659179,0.0,0.0001910924911498898,0.00021138624034745988,0.0005412101745605,0.00022921996670994028,-0.00035011768341061027,0.99895740685519,0.001417909028965682,0.9976454785614245,0.0014511147779129874,-0.0013119282937654742,3,3,3,3,False,CONTROL,~0
llava,474,marimba->string instrument,1.024472713470459,1.024472713470459,0.0,0.0015043417612711,0.0009056305980479247,0.0009425083796182806,0.0010106805578729556,0.0005618333816528193,0.9991946490958282,0.0008230781386636222,0.9995665761571876,0.0006083880937049253,0.00037192706135935616,3,3,0,3,False,EASY,pos
qwen,2,sparrow->flightless bird,1.9805192947387695,1.9805192947387695,0.0,0.019152998924255333,0.018735321292144114,0.010893265406290651,0.012938166512114223,0.008259733517964682,0.9766528000113545,0.004226139069442514,0.9780796870097026,0.012545306612827488,0.0014268869983481425,3,3,0,3,False,EASY,pos
qwen,26,sparrow->constrictor,3.4955533742904663,3.4955533742904663,0.0,0.005806684494018499,0.003815359708145426,0.05306414763132727,0.08025856341283029,-0.04725746313730877,0.9950437321587726,0.003637390510937293,0.9775937015677356,0.006723693083006531,-0.017450030591037002,3,3,0,2,False,EASY,pos
qwen,28,sparrow->snake,-1.8471142053604126,1.8471142053604126,1.8471142053604126,0.6263166964054108,0.058851448668068754,0.0010198503732680333,0.0012346413995997748,0.6252968460321428,0.8943773487786034,0.008974516134557044,0.9975565956929723,0.0022902797996158385,0.10317924691436886,0,3,3,3,True,PRIOR-ASSISTED,neg
qwen,96,flightless bird->lizard,-4.228271186351776,4.228271186351776,4.228271186351776,1.2252402504285176,0.07428360366779477,0.396360844373703,0.2367669572289145,0.8288794060548146,0.795030020350786,0.012824135942270302,0.9323919117516156,0.03904789946968864,0.13736189140082966,0,1,3,0,True,PRIOR-ASSISTED,neg
qwen,196,iguana->constrictor,2.7799569368362427,2.7799569368362427,0.0,1.1561178863048553,0.3701448429922515,0.9562401374181112,0.5104347222087701,0.19987774888674414,0.8013230264000407,0.05806663108199057,0.8366502549972857,0.08305641189647246,0.03532722859724502,0,0,0,0,False,GEOMETRY,pos
qwen,278,constrictor->lizard,-0.06626439094543454,0.06626439094543454,0.06626439094543454,0.21162239710489902,0.11926197549457332,0.10859409968058269,0.09454236560066977,0.10302829742431634,0.9640776224936864,0.019331130289430027,0.9797820752248899,0.014715477772074718,0.015704452731203467,2,3,0,1,False,CONTROL,~0
qwen,454,marimba->constrictor,4.4323631674051285,4.4323631674051285,0.0,0.0008821288744608,0.00020527215163845794,0.0004093448321024333,0.0002210443180371495,0.0004727840423583667,0.9994837627560749,0.00023919124017421622,0.9993369493168731,0.0006040177746679471,-0.00014681343920175394,3,3,0,3,False,EASY,pos
qwen,474,marimba->string instrument,0.025717958807945248,0.025717958807945248,0.0,0.0002101361751556393,0.00017177775541233373,0.0005654493967692001,0.0003915564449858914,-0.00035531322161356073,0.9992566650191582,0.0007271565650708773,0.9996598631335698,0.00027824501329839064,0.0004031981144115848,3,3,3,3,False,CONTROL,~0
