seed,anchor,target,la,lt,a_word,t_word,raw_floor,gap_med,d0_gray,pmi_floor_gray,d0_black,pmi_floor_black,d0_white,pmi_floor_white,d0_noise,pmi_floor_noise,d0,pmi_floor,explained_frac
0,junco,ostrich,0,0,sparrow,ratite,0.4454169273376465,3.8246290795505047,3.5080281496047974,0.00032511353492736816,3.051242470741272,0.000828087329864502,2.376053214073181,0.00047329068183898926,3.9651764631271362,0.0016990303993225098,3.5080281496047974,0.00032511353492736816,0.9992700916490295
196,green iguana,boa constrictor,0,0,iguana,constrictor,4.205987632274628,5.556245919317007,2.7845526933670044,1.4214349389076233,2.921236753463745,1.2847508788108826,2.983860969543457,1.2221266627311707,2.8931437730789185,1.3128438591957092,2.7845526933670044,1.4214349389076233,0.6620449075978616
198,green iguana,boa constrictor,0,1,iguana,snake,0.7740244269371033,2.961436351761222,-1.5837811566889286,2.357805583626032,-1.3578657805919647,2.131890207529068,-1.533698108047247,2.30772253498435,-1.6931769959628582,2.4672014228999615,-1.5837811566889286,2.357805583626032,-2.0461643089948964
1,junco,ostrich,0,0,sparrow,ratite,2.729616403579712,4.864185728132725,3.5080281496047974,0.0003751516342163086,3.051242470741272,0.004008114337921143,2.376053214073181,0.35356318950653076,3.9651764631271362,0.0012024939060211182,3.5080281496047974,0.0003751516342163086,0.9998625625074189
202,green iguana,boa constrictor,1,1,lizard,snake,0.0067806243896484375,2.273664601147175,-1.1835483461618423,0.4025070518255234,-1.232878565788269,0.4518372714519501,-1.1525823920965195,0.3715410977602005,-1.3338439613580704,0.5528026670217514,-1.1835483461618423,0.4025070518255234,-58.36135504571027
203,green iguana,boa constrictor,1,1,lizard,snake,0.0050334632396698,2.1850860454142094,-1.1835483461618423,0.01175256073474884,-1.232878565788269,0.06108278036117554,-1.1525823920965195,0.019213393330574036,-1.3338439613580704,0.16204817593097687,-1.1835483461618423,0.01175256073474884,-1.3348855797980994
204,green iguana,cello,0,0,iguana,cello,0.002006709575653076,2.8221344500780106,-0.9740155339241028,0.8958012461662292,-0.9413589835166931,0.8631446957588196,-1.0987719595432281,1.0205576717853546,-0.5966766476631165,0.5184623599052429,-0.9740155339241028,0.8958012461662292,-445.4030356135088
205,green iguana,cello,0,0,iguana,cello,0.0028496980667114258,3.0165080251172185,-0.9740155339241028,0.7600720524787903,-0.9413589835166931,0.7274155020713806,-1.0987719595432281,0.8848284780979156,-0.5966766476631165,0.38273316621780396,-0.9740155339241028,0.7600720524787903,-265.72020497803805
212,green iguana,cello,1,1,lizard,string instrument,0.0028867721557617188,1.663541929796338,-0.3968055844306946,0.32516223192214966,-0.38589052855968475,0.31424717605113983,-0.4724798798561096,0.4008365273475647,-0.41763532161712646,0.34599196910858154,-0.3968055844306946,0.32516223192214966,-111.638689296333
240,boa constrictor,junco,0,0,constrictor,sparrow,0.0004258155822753906,-0.3024330139160156,-3.281009793281555,0.2692316770553589,-2.9539549350738525,0.02087259292602539,-3.262143611907959,0.2503654956817627,-3.867599844932556,0.8558217287063599,-3.281009793281555,0.2692316770553589,-631.2729563269877
