cross_def,n_cells,n_crossed,auc,auc_ci_lo,auc_ci_hi,mw_U,mw_p,overlap_lo,overlap_hi,zero_cross_threshold,n_cells_above_zero_cross_threshold,probe_median_noncross,probe_median_cross
p_b>p_a,40,22,0.9065656565656566,0.7999874686716791,0.9791666666666667,359.0,6.402497627321714e-06,1.8139366507530212,4.390056550502777,4.5,11,4.755116581916809,1.7691619917750359
floor<=1e-2,40,21,0.8796992481203008,0.7609747023809523,0.9674185463659148,351.0,2.159855371302652e-05,1.747537612915039,4.390056550502777,4.5,11,4.65808367729187,1.7907863706350329
