target,n_cells,qwen_crossed,llava_crossed,qwen_probe_mean,llava_probe_mean
boa constrictor,8,3,4,4.230436256155372,5.076815567910671
cello,8,6,1,2.737057026475668,2.4434796199202538
green iguana,5,3,2,2.1367555379867555,3.3794341325759887
junco,9,8,2,1.9755043188730876,3.5276832713021173
marimba,5,1,4,4.388564622402191,0.9344313025474549
ostrich,5,1,4,3.8864741802215574,3.8637977123260496
